service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
132,0,0,0,0,0,1,0,20250404,20251213
133,0,0,0,0,0,1,1,20250404,20251213
134,1,1,1,1,1,1,0,20250404,20251213
135,1,1,1,1,1,1,1,20250404,20251213
136,0,0,0,0,0,0,1,20250404,20251213
137,1,1,1,1,1,0,0,20250404,20251213
138,0,0,0,0,0,0,0,20250404,20251213
139,0,0,0,0,0,0,0,20250404,20251213
140,0,0,0,0,0,0,0,20250404,20251213
141,0,0,0,0,0,0,0,20250404,20251213
142,0,0,0,0,0,0,0,20250404,20251213
143,0,0,0,0,0,1,1,20250404,20251213
144,0,0,0,0,0,0,0,20250404,20251213
145,0,0,0,0,0,0,0,20250404,20251213
146,0,0,0,0,0,0,0,20250404,20251213
147,0,0,0,0,0,0,0,20250404,20251213
148,0,0,0,0,0,0,0,20250404,20251213
149,1,1,1,1,1,0,0,20250404,20251213
150,1,1,1,1,1,0,0,20250404,20251213
151,0,0,0,0,0,0,0,20250404,20251213
152,1,1,1,1,1,0,0,20250404,20251213
153,0,0,0,0,0,0,0,20250404,20251213
154,1,1,1,0,0,0,0,20250404,20251213
155,0,0,0,1,0,0,0,20250404,20251213
156,1,1,1,1,1,1,1,20250404,20251213
157,0,0,0,0,0,1,1,20250404,20251213
158,0,0,0,0,0,0,0,20250404,20251213
159,0,0,0,0,0,0,0,20250404,20251213
160,0,0,0,0,1,1,0,20250404,20251213
161,0,0,0,0,1,1,0,20250404,20251213
162,1,1,1,1,1,1,1,20250404,20251213
163,0,0,0,0,0,0,0,20250404,20251213
164,0,0,0,0,0,0,0,20250404,20251213
165,0,0,0,0,1,0,0,20250404,20251213
166,1,1,1,1,0,0,1,20250404,20251213
167,0,0,0,0,0,0,0,20250404,20251213
168,0,0,0,0,0,0,0,20250404,20251213
169,0,0,0,0,0,0,0,20250404,20251213
170,0,0,0,0,0,0,0,20250404,20251213
171,0,0,0,0,0,0,0,20250404,20251213
172,0,0,0,0,0,0,0,20250404,20251213
173,0,0,0,0,1,1,0,20250404,20251213
174,0,0,0,0,0,1,0,20250404,20251213
175,0,0,0,0,1,1,0,20250404,20251213
176,0,0,0,0,0,1,0,20250404,20251213
177,0,0,0,0,0,0,0,20250404,20251213
178,1,1,1,1,1,0,0,20250404,20251213
179,0,0,0,0,0,0,0,20250404,20251213
180,1,1,1,1,1,1,1,20250404,20251213
181,0,0,0,0,0,0,1,20250404,20251213
182,1,1,1,1,1,1,0,20250404,20251213
183,1,1,1,1,1,0,1,20250404,20251213
184,0,0,0,0,0,0,0,20250404,20251213
185,0,0,0,0,0,0,0,20250404,20251213
186,0,0,0,0,0,0,0,20250404,20251213
187,0,0,0,0,0,0,0,20250404,20251213
188,0,0,0,0,0,0,0,20250404,20251213
189,0,0,0,0,0,0,0,20250404,20251213
190,0,0,0,0,0,0,0,20250404,20251213
191,0,0,0,0,0,0,0,20250404,20251213
192,1,1,1,1,1,0,0,20250404,20251213
193,1,1,1,1,1,1,1,20250404,20251213
194,1,1,1,1,1,1,1,20250404,20251213
195,0,0,0,0,0,0,0,20250404,20251213
196,0,0,0,0,0,0,0,20250404,20251213
197,0,0,0,0,0,0,0,20250404,20251213
198,0,0,0,0,0,1,1,20250404,20251213
199,0,0,0,0,0,0,0,20250404,20251213
200,0,0,0,0,0,0,0,20250404,20251213
201,0,0,0,0,0,0,0,20250404,20251213
202,1,1,1,1,0,0,0,20250404,20251213
203,0,0,0,0,0,0,0,20250404,20251213
204,1,1,1,1,1,0,0,20250404,20251213
205,0,0,0,0,0,0,0,20250404,20251213
206,0,0,0,0,0,0,0,20250404,20251213
207,0,0,0,0,0,0,0,20250404,20251213
